,CellLineName,TissueMetaclass,DoublingTime,GDSC_CellLine,CCLE_CellLine,SeedingDensity,EMT,unique.id,isBlood,isBone,isBone.Marrow,isBrain,isBreast,isCervix,isColon,isConnective.Tissue,isEsophagus,isHead.and.Neck,isKidney,isLiver,isLung,isLymphoid,isMuscle,isOvary,isPancreas,isProstate,isSkin,isSmall.Intestine,isStomach,isUnclassified,isUninary,isUterus,DNADamageMutation,PI3K,MAPK,tissueid,Cell line,Tissue Supergroup,Metastatic Tissue,Primary Tissue,Tissue Diagnosis,Age,Age Unit,Gender,Ethnicity,SNP Cluster Number,In Final Analysis Set,Growth Media,Freeze Media,CCLE ID,Sanger ID
Panc 04.03,Panc 04.03,Pancreas,45,NA,Panc 04.03,699,0.905819774,Panc 04.03,-0.313914399,-0.082088935,-0.073373083,-0.22172157,-0.397709417,-0.097260282,-0.27636309,-0.051812823,-0.116484949,-0.143151421,-0.138202914,-0.147947382,-0.571807011,-0.193653861,-0.063500178,-0.270708198,4.143919906,-0.073373083,-0.26784843,-0.036612601,-0.20455629,-0.089984662,-0.089984662,-0.133084786,1.36225791,-0.982434321,1.352608226,pancreas,Panc 04.03,Pancreas,NA,Pancreas,Adenocarcinoma,70,Years,Male,Caucasian,416,TRUE,"RPMI-1640, 10% FBS, 2mM L-Glutamine","Complete growth medium, 90%; DMSO, 10%",Panc 04.03,NA
Panc 10.05,Panc 10.05,Pancreas,58,PANC-10-05,Panc 10.05,2065,NA,Panc 10.05,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,pancreas,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
PA-TU-8902,PA-TU-8902,Pancreas,30,NA,PA-TU-8902,349,0.888955004,PA-TU-8902,-0.313914399,-0.082088935,-0.073373083,-0.22172157,-0.397709417,-0.097260282,-0.27636309,-0.051812823,-0.116484949,-0.143151421,-0.138202914,-0.147947382,-0.571807011,-0.193653861,-0.063500178,-0.270708198,4.143919906,-0.073373083,-0.26784843,-0.036612601,-0.20455629,-0.089984662,-0.089984662,-0.133084786,-0.73309137,-0.982434321,1.352608226,pancreas,PA-TU-8902,Pancreas,NA,Pancreas,Adenocarcinoma,NA,NA,NA,NA,412,TRUE,"RPMI-1640, 10% FBS, 2mM L-Glutamine","Complete growth medium, 90%; DMSO, 10%",PA-TU-8902,NA
PC-3,PC-3,Prostate,48,PC-3,PC-3,1245,0.322952532,PC-3,-0.313914399,-0.082088935,-0.073373083,-0.22172157,-0.397709417,-0.097260282,-0.27636309,-0.051812823,-0.116484949,-0.143151421,-0.138202914,-0.147947382,-0.571807011,-0.193653861,-0.063500178,-0.270708198,-0.240993924,13.61070683,-0.26784843,-0.036612601,-0.20455629,-0.089984662,-0.089984662,-0.133084786,1.36225791,1.016311367,-0.738098397,prostate,PC-3,Other,NA,Prostate,Adenocarcinoma,62,Years,Male,Caucasian,133,TRUE,"RPMI-1640 10% FBS, 2mM L-Glutamine","Complete growth medium, 90%; DMSO, 10%",PC-3,PC-3
PK-1,PK-1,Pancreas,41,NA,PK-1,509,NA,PK-1,-0.313914399,-0.082088935,-0.073373083,-0.22172157,-0.397709417,-0.097260282,-0.27636309,-0.051812823,-0.116484949,-0.143151421,-0.138202914,-0.147947382,-0.571807011,-0.193653861,-0.063500178,-0.270708198,4.143919906,-0.073373083,-0.26784843,-0.036612601,-0.20455629,-0.089984662,-0.089984662,-0.133084786,1.36225791,NA,1.352608226,pancreas,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
PK-45H,PK-45H,Pancreas,59,NA,PK-45H,478,-0.301335229,PK-45H,-0.313914399,-0.082088935,-0.073373083,-0.22172157,-0.397709417,-0.097260282,-0.27636309,-0.051812823,-0.116484949,-0.143151421,-0.138202914,-0.147947382,-0.571807011,-0.193653861,-0.063500178,-0.270708198,4.143919906,-0.073373083,-0.26784843,-0.036612601,-0.20455629,-0.089984662,-0.089984662,-0.133084786,-0.73309137,-0.982434321,1.352608226,pancreas,PK-45H,Pancreas,NA,Pancreas,Carcinoma,NA,NA,NA,NA,317,FALSE,"RPMI-1640, 10% FBS, 2mM L-Glutamine","Complete growth medium, 90%; DMSO, 10%",PK-45H,NA
PK-59,PK-59,Pancreas,45,NA,PK-59,1061,0.873380936,PK-59,-0.313914399,-0.082088935,-0.073373083,-0.22172157,-0.397709417,-0.097260282,-0.27636309,-0.051812823,-0.116484949,-0.143151421,-0.138202914,-0.147947382,-0.571807011,-0.193653861,-0.063500178,-0.270708198,4.143919906,-0.073373083,-0.26784843,-0.036612601,-0.20455629,-0.089984662,-0.089984662,-0.133084786,1.36225791,-0.982434321,1.352608226,pancreas,PK-59,Pancreas,NA,Pancreas,Carcinoma,NA,NA,NA,NA,316,TRUE,"RPMI-1640, 10% FBS, 2mM L-Glutamine","Complete growth medium, 90%; DMSO, 10%",PK-59,NA
PLC-PRF-5,PLC/PRF/5,Liver,52,PLC-PRF-5,PLC/PRF/5,1199,-0.253743028,PLC-PRF-5,-0.313914399,-0.082088935,-0.073373083,-0.22172157,-0.397709417,-0.097260282,-0.27636309,-0.051812823,-0.116484949,-0.143151421,-0.138202914,6.750099294,-0.571807011,-0.193653861,-0.063500178,-0.270708198,-0.240993924,-0.073373083,-0.26784843,-0.036612601,-0.20455629,-0.089984662,-0.089984662,-0.133084786,-0.73309137,1.016311367,-0.738098397,liver,PLC/PRF/5,Liver,NA,Liver,Carcinoma Hepatocellular,NA,NA,NA,NA,249,TRUE,"RPMI-1640, 10% FBS, 2mM L-Glutamine","Complete growth medium, 90%; DMSO, 10%",PLC/PRF/5,PLC-PRF-5
PSN1,PSN1,Pancreas,27,PSN1,PSN1,489,-0.621189046,PSN1,-0.313914399,-0.082088935,-0.073373083,-0.22172157,-0.397709417,-0.097260282,-0.27636309,-0.051812823,-0.116484949,-0.143151421,-0.138202914,-0.147947382,-0.571807011,-0.193653861,-0.063500178,-0.270708198,4.143919906,-0.073373083,-0.26784843,-0.036612601,-0.20455629,-0.089984662,-0.089984662,-0.133084786,-0.73309137,-0.982434321,1.352608226,pancreas,PSN1,Pancreas,NA,Pancreas,Adenocarcinoma,NA,NA,NA,NA,69,FALSE,"RPMI-1640, 10% FBS, 2mM L-Glutamine","Complete growth medium, 90%; DMSO, 10%",PSN1,PSN1
QGP-1,QGP-1,Pancreas,53,NA,QGP-1,3907,0.611130041,QGP-1,-0.313914399,-0.082088935,-0.073373083,-0.22172157,-0.397709417,-0.097260282,-0.27636309,-0.051812823,-0.116484949,-0.143151421,-0.138202914,-0.147947382,-0.571807011,-0.193653861,-0.063500178,-0.270708198,4.143919906,-0.073373083,-0.26784843,-0.036612601,-0.20455629,-0.089984662,-0.089984662,-0.133084786,-0.73309137,-0.982434321,1.352608226,pancreas,QGP-1,Pancreas,NA,Pancreas,Carcinoma Islet Cell,NA,NA,NA,NA,314,TRUE,"RPMI-1640, 10% FBS, 2mM L-Glutamine","Complete growth medium, 90%; DMSO, 10%",QGP-1,NA
Raji,RAJI,Blood,21,Raji,Raji,2492,-0.897108773,Raji,3.181311595,-0.082088935,-0.073373083,-0.22172157,-0.397709417,-0.097260282,-0.27636309,-0.051812823,-0.116484949,-0.143151421,-0.138202914,-0.147947382,-0.571807011,-0.193653861,-0.063500178,-0.270708198,-0.240993924,-0.073373083,-0.26784843,-0.036612601,-0.20455629,-0.089984662,-0.089984662,-0.133084786,1.36225791,-0.982434321,-0.738098397,haematopoietic_and_lymphoid_tissue,RAJI,Lymphoid,NA,Blood,Malignant Lymphoma - Burkitts Type,11,Years,Male,African,464,TRUE,"RPMI-1640, 10% HI FBS, 2mM L-Glutamine","Complete growth medium, 90%; DMSO, 10%",Raji,Raji
RCM-1,RCM-1,Colon,56,RCM-1,NA,4964,0.95249871,RCM-1,-0.313914399,-0.082088935,-0.073373083,-0.22172157,-0.397709417,-0.097260282,3.613577764,-0.051812823,-0.116484949,-0.143151421,-0.138202914,-0.147947382,-0.571807011,-0.193653861,-0.063500178,-0.270708198,-0.240993924,-0.073373083,-0.26784843,-0.036612601,-0.20455629,-0.089984662,-0.089984662,-0.133084786,-0.73309137,NA,NA,large_intestine,RCM-1,Colo-Rectal,NA,Colon,Adenocarcinoma,73,Years,Female,NA,38,TRUE,"RPMI-1640, 10% FBS, 2mM L-Glutamine","Complete growth medium, 90%; DMSO, 10%",RCM-1,RCM-1
RERF-GC-1B,RERF-GC-1B,Stomach,73,NA,RERF-GC-1B,1339,0.708203298,RERF-GC-1B,-0.313914399,-0.082088935,-0.073373083,-0.22172157,-0.397709417,-0.097260282,-0.27636309,-0.051812823,-0.116484949,-0.143151421,-0.138202914,-0.147947382,-0.571807011,-0.193653861,-0.063500178,-0.270708198,-0.240993924,-0.073373083,-0.26784843,-0.036612601,4.882076793,-0.089984662,-0.089984662,-0.133084786,-0.73309137,1.016311367,-0.738098397,stomach,RERF-GC-1B,Stomach,NA,Stomach,Carcinoma,41,Years,Male,Japanese,586,TRUE,"RPMI-1640, 10% FBS, 2mM L-Glutamine","Complete growth medium, 90%; DMSO, 10%",RERF-GC-1B,NA
RERF-LC-MS,RERF-LC-MS,Lung,36,RERF-LC-MS,RERF-LC-MS,975,-0.464384954,RERF-LC-MS,-0.313914399,-0.082088935,-0.073373083,-0.22172157,-0.397709417,-0.097260282,-0.27636309,-0.051812823,-0.116484949,-0.143151421,-0.138202914,-0.147947382,1.746497502,-0.193653861,-0.063500178,-0.270708198,-0.240993924,-0.073373083,-0.26784843,-0.036612601,-0.20455629,-0.089984662,-0.089984662,-0.133084786,1.36225791,1.016311367,-0.738098397,lung,RERF-LC-MS,Lung,NA,Lung,Carcinoma Non-Small Cell,NA,NA,NA,NA,491,TRUE,"RPMI-1640, 10% FBS, 2mM L-Glutamine","Complete growth medium, 90%; DMSO, 10%",RERF-LC-MS,RERF-LC-MS
RKN,RKN,Ovary,36,NA,RKN,419,-0.867055931,RKN,-0.313914399,-0.082088935,-0.073373083,-0.22172157,-0.397709417,-0.097260282,-0.27636309,-0.051812823,-0.116484949,-0.143151421,-0.138202914,-0.147947382,-0.571807011,-0.193653861,-0.063500178,3.689062702,-0.240993924,-0.073373083,-0.26784843,-0.036612601,-0.20455629,-0.089984662,-0.089984662,-0.133084786,-0.73309137,1.016311367,NA,soft_tissue,RKN,Ovary,NA,Ovary,Leiomyosarcoma,45,Years,Female,Japanese,40,TRUE,"RPMI-1640, 10% FBS, 2mM L-Glutamine","Complete growth medium, 90%; DMSO, 10%",RKN,NA
RKO,RKO,Colon,24,RKO,RKO,781,-0.808242975,RKO,-0.313914399,-0.082088935,-0.073373083,-0.22172157,-0.397709417,-0.097260282,3.613577764,-0.051812823,-0.116484949,-0.143151421,-0.138202914,-0.147947382,-0.571807011,-0.193653861,-0.063500178,-0.270708198,-0.240993924,-0.073373083,-0.26784843,-0.036612601,-0.20455629,-0.089984662,-0.089984662,-0.133084786,1.36225791,1.016311367,1.352608226,large_intestine,RKO,Colo-Rectal,NA,Colon,Carcinoma,NA,NA,NA,NA,259,TRUE,"RPMI-1640, 10% FBS, 2mM L-Glutamine",90% FBS; 10% DMSO,RKO,RKO
RL,RL,Lymphoid,43,RL,NA,2803,-0.749129228,RL,-0.313914399,-0.082088935,-0.073373083,-0.22172157,-0.397709417,-0.097260282,-0.27636309,-0.051812823,-0.116484949,-0.143151421,-0.138202914,-0.147947382,-0.571807011,5.156930587,-0.063500178,-0.270708198,-0.240993924,-0.073373083,-0.26784843,-0.036612601,-0.20455629,-0.089984662,-0.089984662,-0.133084786,1.36225791,1.016311367,-0.738098397,haematopoietic_and_lymphoid_tissue,RL,Lymphoid,NA,Lymph Node,Lymphoma B-cell,52,Years,Male,NA,459,TRUE,"RPMI-1640, 10% HI FBS, 2mM Glutamine","RPMI 1640, 20% HI FBS, 10% DMSO",RL,RL
RL95-2,RL95-2,Uterus,65,RL95-2,RL95-2,4370,NA,RL95-2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,endometrium,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
RMG-I,RMG-I,Ovary,50,RMG-I,NA,1981,0.717810248,RMG-I,-0.313914399,-0.082088935,-0.073373083,-0.22172157,-0.397709417,-0.097260282,-0.27636309,-0.051812823,-0.116484949,-0.143151421,-0.138202914,-0.147947382,-0.571807011,-0.193653861,-0.063500178,3.689062702,-0.240993924,-0.073373083,-0.26784843,-0.036612601,-0.20455629,-0.089984662,-0.089984662,-0.133084786,-0.73309137,NA,NA,ovary,RMG-I,Ovary,NA,Ovary,Carcinoma,NA,NA,NA,NA,37,TRUE,"RPMI-1640, 10% FBS, 2mM L-Glutamine","Complete growth medium, 90%; DMSO, 10%",RMG-I,RMG-I
RPMI-2650,RPMI 2650,Head and Neck,35,RPMI-2650,NA,NA,NA,RPMI-2650,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,upper_aerodigestive_tract,RPMI 2650,Colo-Rectal,NA,Septum,Carcinoma Squamous Cell,52,Years,Male,NA,131,TRUE,"RPMI-1640, 10% FBS, 2mM L-Glutamine","Complete growth medium, 90%; DMSO, 10%",NA,RPMI-2650
RPMI-7951,RPMI-7951,Skin,30,RPMI-7951,RPMI-7951,537,-0.858760292,RPMI-7951,-0.313914399,-0.082088935,-0.073373083,-0.22172157,-0.397709417,-0.097260282,-0.27636309,-0.051812823,-0.116484949,-0.143151421,-0.138202914,-0.147947382,-0.571807011,-0.193653861,-0.063500178,-0.270708198,-0.240993924,-0.073373083,3.728450145,-0.036612601,-0.20455629,-0.089984662,-0.089984662,-0.133084786,-0.73309137,1.016311367,NA,skin,RPMI-7951,Skin,NA,Skin,Melanoma,18,Years,NA,Caucasian,399,TRUE,"RPMI-1640, 10% FBS, 2mM L-Glutamine","Complete growth medium, 90%; DMSO, 10%",RPMI-7951,RPMI-7951
RPMI-8226,RPMI 8226,Blood,50,RPMI-8226,NA,2238,-0.295518669,RPMI-8226,3.181311595,-0.082088935,-0.073373083,-0.22172157,-0.397709417,-0.097260282,-0.27636309,-0.051812823,-0.116484949,-0.143151421,-0.138202914,-0.147947382,-0.571807011,-0.193653861,-0.063500178,-0.270708198,-0.240993924,-0.073373083,-0.26784843,-0.036612601,-0.20455629,-0.089984662,-0.089984662,-0.133084786,-0.73309137,1.016311367,1.352608226,haematopoietic_and_lymphoid_tissue,RPMI 8226,Lymphoid,NA,Blood,Multiple Myeloma,NA,NA,NA,NA,372,TRUE,"RPMI-1640, 10% Heat inactivated FBS, 2mM L-Glutamine","Complete growth medium, 90%; DMSO, 10%",RPMI 8226,RPMI-8226
RT-112,RT-112,Urinary,35,RT-112,RT-112,910,1.119654085,RT-112,-0.313914399,-0.082088935,-0.073373083,-0.22172157,-0.397709417,-0.097260282,-0.27636309,-0.051812823,-0.116484949,-0.143151421,-0.138202914,-0.147947382,-0.571807011,-0.193653861,-0.063500178,-0.270708198,-0.240993924,-0.073373083,-0.26784843,-0.036612601,-0.20455629,-0.089984662,11.09810827,-0.133084786,-0.73309137,-0.982434321,-0.738098397,urinary_tract,RT-112,Urinary Bladder,NA,Urinary Bladder,Carcinoma Transitional Cell,NA,NA,Female,NA,254,TRUE,"RPMI-1640, 10% FBS, 2mM L-Glutamine","Complete growth medium, 90%; DMSO, 10%",RT-112,RT-112
RT4,RT4,Urinary,47,RT4,RT4,3687,1.085169161,RT4,-0.313914399,-0.082088935,-0.073373083,-0.22172157,-0.397709417,-0.097260282,-0.27636309,-0.051812823,-0.116484949,-0.143151421,-0.138202914,-0.147947382,-0.571807011,-0.193653861,-0.063500178,-0.270708198,-0.240993924,-0.073373083,-0.26784843,-0.036612601,-0.20455629,-0.089984662,11.09810827,-0.133084786,-0.73309137,-0.982434321,-0.738098397,urinary_tract,RT4,Urinary Bladder,NA,Urinary Bladder,Carcinoma Transitional Cell,63,Years,Male,Caucasian,253,TRUE,"RPMI-1640, 10% FBS, 2mM L-Glutamine","Complete growth medium, 90%; DMSO, 10%",RT4,NA
RVH-421,RVH-421,Skin,50,RVH-421,RVH-421,398,NA,RVH-421,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,skin,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
S-117,S-117,Thyroid,27,S-117,NA,860,NA,S-117,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,soft_tissue,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
SCC-3,SCC-3,Blood,NA,SCC-3,NA,3766,-0.985698893,SCC-3,3.181311595,-0.082088935,-0.073373083,-0.22172157,-0.397709417,-0.097260282,-0.27636309,-0.051812823,-0.116484949,-0.143151421,-0.138202914,-0.147947382,-0.571807011,-0.193653861,-0.063500178,-0.270708198,-0.240993924,-0.073373083,-0.26784843,-0.036612601,-0.20455629,-0.089984662,-0.089984662,-0.133084786,-0.73309137,NA,NA,haematopoietic_and_lymphoid_tissue,SCC-3,Lymphoid,NA,Blood,Lymphoma Non-Hodgkins,20,Years,NA,NA,457,TRUE,"RPMI-1640 10% Heat Inactivated FBS, 2mM Glutamine","Complete Growth Media, 90%; DMSO, 10%",NA,SCC-3
SCLC-21H,SCLC-21H,Lung,48,SCLC-21H,NA,10144,0.048893192,SCLC-21H,-0.313914399,-0.082088935,-0.073373083,-0.22172157,-0.397709417,-0.097260282,-0.27636309,-0.051812823,-0.116484949,-0.143151421,-0.138202914,-0.147947382,1.746497502,-0.193653861,-0.063500178,-0.270708198,-0.240993924,-0.073373083,-0.26784843,-0.036612601,-0.20455629,-0.089984662,-0.089984662,-0.133084786,-0.73309137,1.016311367,-0.738098397,lung,SCLC-21H,Lung,NA,Lung,Carcinoma Small Cell,46,Years,Male,Caucasian,229,FALSE,"DMEM, 10% FBS, 2mM L-Glutamine","Complete growth medium, 90%; DMSO, 10%",SCLC-21H,SCLC-21H
SF268,SF268,Brain,44,SF268,NA,371,-0.421927671,SF268,-0.313914399,-0.082088935,-0.073373083,4.504115315,-0.397709417,-0.097260282,-0.27636309,-0.051812823,-0.116484949,-0.143151421,-0.138202914,-0.147947382,-0.571807011,-0.193653861,-0.063500178,-0.270708198,-0.240993924,-0.073373083,-0.26784843,-0.036612601,-0.20455629,-0.089984662,-0.089984662,-0.133084786,-0.73309137,1.016311367,-0.738098397,central_nervous_system,SF268,Brain,NA,Brain,Glioma,NA,NA,NA,NA,278,TRUE,"RPMI-1640, 10% FBS, 2mM L-Glutamine",90% FBS; 10% DMSO,NA,SF268
SF539,SF539,Brain,37,SF539,NA,168,-1.122193379,SF539,-0.313914399,-0.082088935,-0.073373083,4.504115315,-0.397709417,-0.097260282,-0.27636309,-0.051812823,-0.116484949,-0.143151421,-0.138202914,-0.147947382,-0.571807011,-0.193653861,-0.063500178,-0.270708198,-0.240993924,-0.073373083,-0.26784843,-0.036612601,-0.20455629,-0.089984662,-0.089984662,-0.133084786,-0.73309137,1.016311367,-0.738098397,central_nervous_system,SF539,Brain,NA,Brain,Glioma,NA,NA,NA,NA,277,TRUE,"RPMI-1640, 10% FBS, 2mM L-Glutamine",90% FBS; 10% DMSO,NA,SF539
SiHa,SiHa,Cervix,33,SiHa,NA,972,0.040179179,SiHa,-0.313914399,-0.082088935,-0.073373083,-0.22172157,-0.397709417,10.26790689,-0.27636309,-0.051812823,-0.116484949,-0.143151421,-0.138202914,-0.147947382,-0.571807011,-0.193653861,-0.063500178,-0.270708198,-0.240993924,-0.073373083,-0.26784843,-0.036612601,-0.20455629,-0.089984662,-0.089984662,-0.133084786,-0.73309137,-0.982434321,-0.738098397,cervix,SiHa,Cervix,NA,Cervix,Carcinoma Squamous Cell,NA,NA,NA,NA,265,TRUE,"RPMI-1640, 10% FBS, L-Glutamine","Complete growth medium, 90%; DMSO, 10%",NA,SiHa
SIMA,SIMA,Brain,NA,SIMA,SIMA,5255,NA,SIMA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,autonomic_ganglia,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
SK-BR-3,SK-BR-3,Breast,73,NA,SK-BR-3,2172,0.59267366,SK-BR-3,-0.313914399,-0.082088935,-0.073373083,-0.22172157,2.511028087,-0.097260282,-0.27636309,-0.051812823,-0.116484949,-0.143151421,-0.138202914,-0.147947382,-0.571807011,-0.193653861,-0.063500178,-0.270708198,-0.240993924,-0.073373083,-0.26784843,-0.036612601,-0.20455629,-0.089984662,-0.089984662,-0.133084786,-0.73309137,1.016311367,-0.738098397,breast,SK-BR-3,Breast,NA,Breast,Adenocarcinoma,43,Years,Female,Caucasian,533,TRUE,"DMEM, 10% FBS, 2mM L-Glutamine","Complete growth medium, 90%; DMSO, 10%",SK-BR-3,NA
SK-CO-1,SK-CO-1,Colon,55,SK-CO-1,SK-CO-1,3103,0.986755015,SK-CO-1,-0.313914399,-0.082088935,-0.073373083,-0.22172157,-0.397709417,-0.097260282,3.613577764,-0.051812823,-0.116484949,-0.143151421,-0.138202914,-0.147947382,-0.571807011,-0.193653861,-0.063500178,-0.270708198,-0.240993924,-0.073373083,-0.26784843,-0.036612601,-0.20455629,-0.089984662,-0.089984662,-0.133084786,1.36225791,-0.982434321,1.352608226,large_intestine,SK-CO-1,Colo-Rectal,NA,Colon,Adenocarcinoma,65,Years,Male,Caucasian,519,TRUE,"RPMI-1640, 10% FBS, 2mM L-Glutamine","90% FBS, 10% DMSO",SK-CO-1,SK-CO-1
SKG-IIIa,SKG-IIIa,Cervix,66,SKG-IIIa,NA,2046,NA,SKG-IIIa,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,cervix,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
SK-HEP-1,SK-HEP-1,Liver,45,SK-HEP-1,SK-HEP-1,918,NA,SK-HEP-1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,liver,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
SKM-1,SKM-1,Blood,22,SKM-1,NA,6540,-0.670914018,SKM-1,3.181311595,-0.082088935,-0.073373083,-0.22172157,-0.397709417,-0.097260282,-0.27636309,-0.051812823,-0.116484949,-0.143151421,-0.138202914,-0.147947382,-0.571807011,-0.193653861,-0.063500178,-0.270708198,-0.240993924,-0.073373083,-0.26784843,-0.036612601,-0.20455629,-0.089984662,-0.089984662,-0.133084786,-0.73309137,-0.982434321,-0.738098397,haematopoietic_and_lymphoid_tissue,SKM-1,Lymphoid,NA,Blood,Myelodysplasia,NA,NA,NA,NA,571,TRUE,"RPMI-1640, 10% HI FBS, 2mM L-Glutamine","Complete growth medium, 90%; DMSO, 10%",SKM-1,SKM-1
SK-MEL-1,SK-MEL-1,Skin,63,SK-MEL-1,NA,4026,-0.603441548,SK-MEL-1,-0.313914399,-0.082088935,-0.073373083,-0.22172157,-0.397709417,-0.097260282,-0.27636309,-0.051812823,-0.116484949,-0.143151421,-0.138202914,-0.147947382,-0.571807011,-0.193653861,-0.063500178,-0.270708198,-0.240993924,-0.073373083,3.728450145,-0.036612601,-0.20455629,-0.089984662,-0.089984662,-0.133084786,1.36225791,-0.982434321,1.352608226,skin,SK-MEL-1,Skin,Lymphatic Tissue,Skin,Melanoma Metastatic,29,Years,Male,Caucasian,602,TRUE,"RPMI-1640, 10% FBS, 2mM L-Glutamine","Complete growth medium, 90%; DMSO, 10%",SK-MEL-1,NA
SK-MEL-2,SK-MEL-2,Skin,62,SK-MEL-2,SK-MEL-2,1632,-0.476136511,SK-MEL-2,-0.313914399,-0.082088935,-0.073373083,-0.22172157,-0.397709417,-0.097260282,-0.27636309,-0.051812823,-0.116484949,-0.143151421,-0.138202914,-0.147947382,-0.571807011,-0.193653861,-0.063500178,-0.270708198,-0.240993924,-0.073373083,3.728450145,-0.036612601,-0.20455629,-0.089984662,-0.089984662,-0.133084786,1.36225791,-0.982434321,1.352608226,skin,SK-MEL-2,Skin,NA,Skin,Melanoma,60,Years,Male,Caucasian,397,TRUE,"RPMI-1640 10% FBS, 2mM L-Glutamine","Complete growth medium, 90%; DMSO, 10%",SK-MEL-2,SK-MEL-2
SK-MEL-24,SK-MEL-24,Skin,72,SK-MEL-24,SK-MEL-24,1474,0.219174572,SK-MEL-24,-0.313914399,-0.082088935,-0.073373083,-0.22172157,-0.397709417,-0.097260282,-0.27636309,-0.051812823,-0.116484949,-0.143151421,-0.138202914,-0.147947382,-0.571807011,-0.193653861,-0.063500178,-0.270708198,-0.240993924,-0.073373083,3.728450145,-0.036612601,-0.20455629,-0.089984662,-0.089984662,-0.133084786,1.36225791,1.016311367,1.352608226,skin,SK-MEL-24,Skin,Lymph Node,Skin,Melanoma,67,Years,Male,Caucasian,200,TRUE,"RPMI-1640 10% FBS, 2mM L-Gln","Complete growth medium, 90%; DMSO, 10%",SK-MEL-24,SK-MEL-24
SK-MEL-28,SK-MEL-28,Skin,39,SK-MEL-28,NA,921,-0.522886412,SK-MEL-28,-0.313914399,-0.082088935,-0.073373083,-0.22172157,-0.397709417,-0.097260282,-0.27636309,-0.051812823,-0.116484949,-0.143151421,-0.138202914,-0.147947382,-0.571807011,-0.193653861,-0.063500178,-0.270708198,-0.240993924,-0.073373083,3.728450145,-0.036612601,-0.20455629,-0.089984662,-0.089984662,-0.133084786,-0.73309137,1.016311367,1.352608226,haematopoietic_and_lymphoid_tissue,SK-MEL-28,Skin,NA,Skin,Melanoma,51,Years,Male,NA,398,TRUE,"DMEM, 10% FBS, 2mM Glutamine","Complete growth medium, 90%; DMSO, 10%",SK-MEL-28,SK-MEL-28
SK-MEL-3,SK-MEL-3,Skin,50,SK-MEL-3,NA,2030,-0.532331177,SK-MEL-3,-0.313914399,-0.082088935,-0.073373083,-0.22172157,-0.397709417,-0.097260282,-0.27636309,-0.051812823,-0.116484949,-0.143151421,-0.138202914,-0.147947382,-0.571807011,-0.193653861,-0.063500178,-0.270708198,-0.240993924,-0.073373083,3.728450145,-0.036612601,-0.20455629,-0.089984662,-0.089984662,-0.133084786,-0.73309137,1.016311367,1.352608226,skin,SK-MEL-3,Skin,NA,Skin,Melanoma,42,Years,Female,Caucasian,25,TRUE,"RPMI-1640, 10% FBS, 2mM L-Glutamine","Complete growth medium, 90%; DMSO, 10%",SK-MEL-3,SK-MEL-3
